,UNODC,unodc_ddds@un.org,REGION,SUB-REGION,INDICATOR,DIMENSION,CATEGORY,SEX,AGE,YEAR,COUNTS,CASE-VALUE,SOURCE
2679,NGA,Nigeria,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,100,GLOTIP
2680,NGA,Nigeria,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,61,GLOTIP
2681,NGA,Nigeria,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,458,GLOTIP
2683,NGA,Nigeria,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2021,Counts,74,GLOTIP
2684,NGA,Nigeria,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2021,Counts,66,GLOTIP
2685,NGA,Nigeria,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2021,Counts,699,GLOTIP
2691,NIC,Nicaragua,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Other,0 to 17 years,2021,Counts,7,GLOTIP
2693,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2014,Counts,77,GLOTIP
2695,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2014,Counts,115,GLOTIP
2696,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2014,Counts,126,GLOTIP
2697,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,600,GLOTIP
2698,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2014,Counts,9,GLOTIP
2699,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2014,Counts,23,GLOTIP
2701,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2015,Counts,34,GLOTIP
2702,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2015,Counts,11,GLOTIP
2703,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2015,Counts,91,GLOTIP
2704,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2015,Counts,140,GLOTIP
2705,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,497,GLOTIP
2707,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2015,Counts,29,GLOTIP
2709,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2016,Counts,31,GLOTIP
2710,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2016,Counts,9,GLOTIP
2711,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2016,Counts,56,GLOTIP
2712,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2016,Counts,102,GLOTIP
2713,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,408,GLOTIP
2715,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2016,Counts,34,GLOTIP
2716,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2017,Counts,5,GLOTIP
2717,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,85,GLOTIP
2719,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,129,GLOTIP
2721,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Other,18 years or over,2017,Counts,8,GLOTIP
2723,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2017,Counts,98,GLOTIP
2724,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,392,GLOTIP
2725,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2017,Counts,12,GLOTIP
2726,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2017,Counts,67,GLOTIP
2731,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2018,Counts,29,GLOTIP
2733,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,81,GLOTIP
2737,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2018,Counts,39,GLOTIP
2738,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,318,GLOTIP
2740,NLD,Netherlands,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2018,Counts,126,GLOTIP
2745,NOR,Norway,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2014,Counts,50,GLOTIP
2746,NOR,Norway,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2014,Counts,17,GLOTIP
2747,NOR,Norway,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2014,Counts,50,GLOTIP
2748,NOR,Norway,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2014,Counts,14,GLOTIP
2749,NOR,Norway,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,193,GLOTIP
2752,NOR,Norway,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2015,Counts,5,GLOTIP
2753,NOR,Norway,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2015,Counts,26,GLOTIP
2754,NOR,Norway,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2015,Counts,13,GLOTIP
2755,NOR,Norway,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2015,Counts,42,GLOTIP
2756,NOR,Norway,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2015,Counts,18,GLOTIP
2757,NOR,Norway,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,175,GLOTIP
2759,NOR,Norway,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2015,Counts,10,GLOTIP
2761,NOR,Norway,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2016,Counts,13,GLOTIP
2762,NOR,Norway,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2016,Counts,5,GLOTIP
2763,NOR,Norway,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2016,Counts,38,GLOTIP
2764,NOR,Norway,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2016,Counts,5,GLOTIP
2765,NOR,Norway,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,173,GLOTIP
2767,NOR,Norway,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2016,Counts,7,GLOTIP
2770,NPL,Nepal,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2018,Counts,26,GLOTIP
2771,NPL,Nepal,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2018,Counts,115,GLOTIP
2772,NPL,Nepal,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2018,Counts,42,GLOTIP
2773,NPL,Nepal,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,56,GLOTIP
2774,NPL,Nepal,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2018,Counts,43,GLOTIP
2775,NPL,Nepal,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,65,GLOTIP
2779,NPL,Nepal,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2019,Counts,49,GLOTIP
2780,NPL,Nepal,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2019,Counts,8,GLOTIP
2781,NPL,Nepal,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2019,Counts,33,GLOTIP
2782,NPL,Nepal,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2019,Counts,42,GLOTIP
2783,NPL,Nepal,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,73,GLOTIP
2786,NPL,Nepal,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2020,Counts,14,GLOTIP
2787,NPL,Nepal,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,22,GLOTIP
2790,NPL,Nepal,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2020,Counts,17,GLOTIP
2791,NPL,Nepal,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,30,GLOTIP
2794,NZL,New Zealand,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2015,Counts,18,GLOTIP
2795,NZL,New Zealand,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2016,Counts,6,GLOTIP
2796,NZL,New Zealand,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2016,Counts,13,GLOTIP
2804,NZL,New Zealand,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,9,GLOTIP
2822,OMN,Oman,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,22,GLOTIP
2830,OMN,Oman,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,14,GLOTIP
2838,OMN,Oman,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,9,GLOTIP
2846,OMN,Oman,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,6,GLOTIP
2850,PAN,Panama,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2014,Counts,7,GLOTIP
2851,PAN,Panama,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,5,GLOTIP
2853,PAN,Panama,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,48,GLOTIP
2855,PAN,Panama,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,51,GLOTIP
2856,PAN,Panama,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2016,Counts,33,GLOTIP
2857,PAN,Panama,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,6,GLOTIP
2859,PAN,Panama,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,34,GLOTIP
2860,PAN,Panama,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2017,Counts,20,GLOTIP
2861,PAN,Panama,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2018,Counts,6,GLOTIP
2864,PAN,Panama,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,20,GLOTIP
2865,PAN,Panama,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2018,Counts,22,GLOTIP
2867,PAN,Panama,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2019,Counts,8,GLOTIP
2870,PAN,Panama,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,22,GLOTIP
2875,PAN,Panama,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,7,GLOTIP
2877,PAN,Panama,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,14,GLOTIP
2879,PAN,Panama,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2021,Counts,6,GLOTIP
2881,PAN,Panama,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2021,Counts,6,GLOTIP
2883,PER,Peru,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2014,Counts,18,GLOTIP
2884,PER,Peru,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2014,Counts,5,GLOTIP
2885,PER,Peru,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2014,Counts,18,GLOTIP
2887,PER,Peru,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2014,Counts,102,GLOTIP
2888,PER,Peru,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,83,GLOTIP
2890,PER,Peru,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2015,Counts,31,GLOTIP
2891,PER,Peru,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2015,Counts,21,GLOTIP
2892,PER,Peru,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2015,Counts,20,GLOTIP
2893,PER,Peru,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2015,Counts,8,GLOTIP
2894,PER,Peru,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2015,Counts,168,GLOTIP
2895,PER,Peru,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,150,GLOTIP
2898,PER,Peru,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2016,Counts,102,GLOTIP
2899,PER,Peru,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2016,Counts,28,GLOTIP
2900,PER,Peru,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2016,Counts,56,GLOTIP
2901,PER,Peru,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2016,Counts,23,GLOTIP
2902,PER,Peru,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2016,Counts,263,GLOTIP
2903,PER,Peru,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,173,GLOTIP
2904,PER,Peru,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2016,Counts,12,GLOTIP
2917,PLW,Palau,Oceania,Micronesia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,14,GLOTIP
2940,POL,Poland,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2014,Counts,31,GLOTIP
2942,POL,Poland,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2014,Counts,12,GLOTIP
2944,POL,Poland,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,44,GLOTIP
2949,POL,Poland,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2015,Counts,12,GLOTIP
2950,POL,Poland,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,27,GLOTIP
2952,POL,Poland,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2016,Counts,67,GLOTIP
2954,POL,Poland,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2016,Counts,44,GLOTIP
2956,POL,Poland,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,5,GLOTIP
2961,POL,Poland,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,42,GLOTIP
2963,POL,Poland,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,14,GLOTIP
2965,POL,Poland,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2017,Counts,8,GLOTIP
2967,POL,Poland,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2018,Counts,5,GLOTIP
2969,POL,Poland,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,14,GLOTIP
2970,POL,Poland,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,37,GLOTIP
2975,POL,Poland,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2019,Counts,5,GLOTIP
2976,POL,Poland,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2019,Counts,6,GLOTIP
2977,POL,Poland,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,9,GLOTIP
2985,POL,Poland,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,7,GLOTIP
2987,POL,Poland,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,8,GLOTIP
2990,PRT,Portugal,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2014,Counts,8,GLOTIP
2991,PRT,Portugal,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2014,Counts,22,GLOTIP
2992,PRT,Portugal,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,11,GLOTIP
2993,PRT,Portugal,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2015,Counts,8,GLOTIP
2994,PRT,Portugal,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2015,Counts,27,GLOTIP
2995,PRT,Portugal,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,5,GLOTIP
2996,PRT,Portugal,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2016,Counts,15,GLOTIP
2997,PRT,Portugal,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2016,Counts,103,GLOTIP
3002,PRT,Portugal,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,23,GLOTIP
3005,PRT,Portugal,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,6,GLOTIP
3011,PRT,Portugal,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2018,Counts,11,GLOTIP
3013,PRT,Portugal,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,38,GLOTIP
3019,PRT,Portugal,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2019,Counts,15,GLOTIP
3021,PRT,Portugal,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2019,Counts,32,GLOTIP
3023,PRT,Portugal,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,10,GLOTIP
3029,PRT,Portugal,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,8,GLOTIP
3031,PRT,Portugal,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,5,GLOTIP
3034,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2014,Counts,14,GLOTIP
3035,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2014,Counts,9,GLOTIP
3036,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2014,Counts,6,GLOTIP
3037,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2014,Counts,8,GLOTIP
3038,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2014,Counts,44,GLOTIP
3039,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,50,GLOTIP
3040,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2014,Counts,6,GLOTIP
3042,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2015,Counts,5,GLOTIP
3044,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2015,Counts,5,GLOTIP
3045,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2015,Counts,14,GLOTIP
3046,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2015,Counts,18,GLOTIP
3047,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2015,Counts,87,GLOTIP
3049,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2016,Counts,6,GLOTIP
3050,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2016,Counts,13,GLOTIP
3051,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2016,Counts,29,GLOTIP
3052,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2016,Counts,11,GLOTIP
3053,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,43,GLOTIP
3056,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2017,Counts,5,GLOTIP
3059,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2017,Counts,10,GLOTIP
3060,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2019,Counts,13,GLOTIP
3061,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2019,Counts,10,GLOTIP
3062,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2019,Counts,9,GLOTIP
3063,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2019,Counts,18,GLOTIP
3064,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2019,Counts,11,GLOTIP
3065,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,34,GLOTIP
3068,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2020,Counts,71,GLOTIP
3069,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,20,GLOTIP
3070,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2020,Counts,59,GLOTIP
3072,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2020,Counts,6,GLOTIP
3073,PRY,Paraguay,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,12,GLOTIP
3076,ROU,Romania,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2017,Counts,8,GLOTIP
3077,ROU,Romania,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,9,GLOTIP
